,Adult Female,,,12 yr female,,,8 yr female,,,4 yr female,,,0 yr female,,
Element,Omegai,Phi1i,Phi2i,Omegai,Phi1i,Phi2i,Omegai,Phi1i,Phi2i,Omegai,Phi1i,Phi2i,Omegai,Phi1i,Phi2i
1,0.63,0.003,0.002,0.53,0.003,0.002,0.44,0.002,0.002,0.38,0.002,0.001,0.37,0.002,0.001
2,0.58,0.012,0.018,0.49,0.011,0.016,0.4,0.01,0.016,0.35,0.009,0.015,0.34,0.006,0.009
3,0.56,0.026,0.047,0.48,0.023,0.043,0.4,0.021,0.04,0.35,0.019,0.036,0.33,0.014,0.025
4,0.6,0.037,0.074,0.52,0.033,0.066,0.47,0.03,0.06,0.42,0.027,0.054,0.33,0.02,0.04
5,0.76,0.048,0.093,0.69,0.042,0.082,0.65,0.039,0.072,0.59,0.035,0.064,0.4,0.025,0.051
6,1,0.058,0.104,0.9,0.052,0.09,0.82,0.048,0.077,0.73,0.043,0.067,0.52,0.031,0.057
7,1.17,0.069,0.105,1.02,0.062,0.09,0.87,0.058,0.076,0.75,0.052,0.065,0.62,0.036,0.058
8,1.18,0.082,0.101,1.01,0.074,0.085,0.85,0.07,0.069,0.73,0.063,0.058,0.64,0.042,0.056
9,1.13,0.096,0.091,0.98,0.086,0.075,0.85,0.082,0.059,0.74,0.074,0.048,0.61,0.049,0.05
10,1.14,0.111,0.077,0.99,0.1,0.063,0.88,0.095,0.047,0.77,0.086,0.037,0.6,0.056,0.043
11,1.17,0.126,0.061,1.03,0.114,0.048,0.93,0.108,0.033,0.81,0.097,0.024,0.6,0.063,0.034
12,1.21,0.141,0.044,1.06,0.126,0.033,0.96,0.119,0.019,0.83,0.106,0.011,0.61,0.07,0.023
13,1.24,0.154,0.025,1.08,0.138,0.015,0.98,0.129,0.003,0.84,0.113,0.004,0.61,0.075,0.012
14,1.25,0.164,0.005,1.09,0.146,0.003,0.99,0.135,0.014,0.86,0.117,0.019,0.59,0.078,0.001
15,1.25,0.17,0.016,1.1,0.15,0.022,1.02,0.138,0.032,0.88,0.117,0.036,0.58,0.079,0.011
16,1.27,0.172,0.039,1.12,0.15,0.043,1.06,0.136,0.052,0.92,0.113,0.054,0.58,0.076,0.024
17,1.3,0.168,0.063,1.15,0.144,0.064,1.1,0.13,0.072,0.94,0.103,0.072,0.58,0.07,0.037
18,1.34,0.158,0.088,1.18,0.133,0.086,1.12,0.118,0.092,0.95,0.09,0.09,0.59,0.06,0.05
19,1.35,0.141,0.113,1.19,0.116,0.109,1.13,0.1,0.113,0.96,0.072,0.107,0.58,0.047,0.062
20,1.35,0.119,0.137,1.19,0.094,0.13,1.13,0.078,0.131,0.97,0.05,0.123,0.58,0.031,0.073
21,1.35,0.09,0.159,1.19,0.067,0.149,1.14,0.052,0.147,0.97,0.024,0.135,0.59,0.013,0.082
22,1.35,0.057,0.178,1.2,0.036,0.164,1.14,0.023,0.159,0.98,0.003,0.142,0.59,0.007,0.087
23,1.35,0.019,0.192,1.2,0.002,0.174,1.13,0.009,0.166,0.97,0.032,0.145,0.59,0.027,0.089
24,1.34,0.02,0.197,1.18,0.034,0.176,1.11,0.042,0.167,0.95,0.061,0.141,0.6,0.047,0.086
25,1.31,0.061,0.197,1.16,0.07,0.173,1.09,0.075,0.16,0.97,0.089,0.131,0.63,0.067,0.078
26,1.3,0.101,0.186,1.17,0.105,0.16,1.1,0.107,0.146,1.01,0.115,0.115,0.69,0.086,0.067
27,1.32,0.139,0.166,1.22,0.138,0.14,1.16,0.136,0.125,1.09,0.14,0.094,0.76,0.103,0.051
28,1.4,0.174,0.136,1.3,0.167,0.112,1.23,0.161,0.097,1.17,0.161,0.067,0.83,0.118,0.031
29,1.49,0.203,0.097,1.39,0.192,0.076,1.31,0.183,0.063,1.25,0.179,0.035,0.9,0.131,0.007
30,1.58,0.225,0.052,1.47,0.211,0.035,1.38,0.199,0.025,1.33,0.192,0.001,0.98,0.139,0.019
31,1.66,0.24,0.002,1.56,0.223,0.009,1.46,0.209,0.016,1.42,0.199,0.035,1.06,0.143,0.044
32,1.76,0.246,0.048,1.65,0.228,0.053,1.55,0.212,0.055,1.51,0.2,0.07,1.14,0.143,0.067
33,1.87,0.244,0.094,1.75,0.226,0.093,1.64,0.209,0.091,1.59,0.196,0.099,1.2,0.138,0.085
34,1.96,0.234,0.131,1.83,0.215,0.124,1.7,0.198,0.118,1.65,0.185,0.121,1.25,0.129,0.095
35,2.03,0.216,0.155,1.88,0.198,0.144,1.75,0.182,0.134,1.69,0.169,0.128,1.28,0.117,0.095
36,2.08,0.192,0.155,1.92,0.176,0.143,1.78,0.161,0.132,1.7,0.149,0.126,1.28,0.102,0.087
37,2.07,0.163,0.138,1.9,0.15,0.126,1.76,0.137,0.115,1.67,0.126,0.104,1.25,0.086,0.064
38,2,0.132,0.093,1.83,0.121,0.086,1.69,0.111,0.076,1.58,0.102,0.066,1.18,0.069,0.029
39,1.86,0.102,0.023,1.69,0.093,0.023,1.56,0.085,0.018,1.46,0.078,0.011,1.1,0.053,0.017
40,1.72,0.074,0.069,1.55,0.068,0.058,1.43,0.062,0.056,1.33,0.056,0.057,1.02,0.039,0.072
41,1.6,0.053,0.172,1.43,0.048,0.149,1.32,0.044,0.14,1.21,0.04,0.132,0.96,0.028,0.129
42,1.49,0.04,0.272,1.32,0.036,0.237,1.22,0.033,0.22,1.11,0.03,0.203,0.9,0.024,0.182
43,1.39,0.037,0.34,1.22,0.032,0.298,1.13,0.03,0.275,1.02,0.027,0.25,0.85,0.023,0.211
44,1.29,0.047,0.351,1.13,0.041,0.306,1.04,0.038,0.282,0.94,0.034,0.256,0.8,0.029,0.217
L(i)(cm),0.353,,,0.315,,,0.288,,,0.259,,,0.192,,
VTL(cm),15.53,,,13.86,,,12.67,,,11.4,,,8.45,,
