,Adult Male,,,12 yr male,,,8 yr male,,,4 yr male,,,0 yr male,,
Element,Omegai,Phi1i,Phi2i,Omegai,Phi1i,Phi2i,Omegai,Phi1i,Phi2i,Omegai,Phi1i,Phi2i,Omegai,Phi1i,Phi2i
1,0.8,0.004,0.003,0.58,0.003,0.002,0.5,0.003,0.002,0.43,0.002,0.002,0.34,0.002,0.001
2,0.74,-0.014,-0.02,0.53,-0.011,-0.017,0.46,-0.01,-0.016,0.4,-0.009,-0.014,0.31,-0.007,-0.01
3,0.71,-0.029,-0.052,0.52,-0.024,-0.044,0.45,-0.021,-0.04,0.39,-0.019,-0.036,0.31,-0.014,-0.026
4,0.72,-0.042,-0.084,0.55,-0.035,-0.069,0.49,-0.031,-0.062,0.43,-0.027,-0.055,0.32,-0.02,-0.04
5,0.85,-0.054,-0.109,0.71,-0.044,-0.087,0.65,-0.04,-0.077,0.58,-0.035,-0.068,0.41,-0.026,-0.051
6,1.1,-0.066,-0.124,0.94,-0.054,-0.096,0.85,-0.049,-0.084,0.75,-0.043,-0.073,0.55,-0.032,-0.056
7,1.35,-0.078,-0.131,1.08,-0.065,-0.097,0.95,-0.058,-0.084,0.82,-0.052,-0.072,0.63,-0.038,-0.057
8,1.47,-0.091,-0.129,1.09,-0.077,-0.092,0.93,-0.069,-0.078,0.8,-0.062,-0.066,0.63,-0.044,-0.054
9,1.44,-0.105,-0.121,1.05,-0.09,-0.083,0.91,-0.081,-0.069,0.79,-0.073,-0.057,0.61,-0.052,-0.048
10,1.39,-0.12,-0.108,1.05,-0.104,-0.07,0.92,-0.094,-0.056,0.8,-0.084,-0.046,0.61,-0.06,-0.041
11,1.38,-0.137,-0.092,1.08,-0.118,-0.055,0.95,-0.107,-0.043,0.84,-0.096,-0.033,0.63,-0.068,-0.032
12,1.42,-0.153,-0.073,1.12,-0.132,-0.038,0.99,-0.119,-0.027,0.86,-0.106,-0.02,0.65,-0.076,-0.022
13,1.46,-0.17,-0.053,1.15,-0.144,-0.021,1,-0.129,-0.011,0.87,-0.114,-0.005,0.67,-0.083,-0.012
14,1.49,-0.184,-0.032,1.15,-0.153,-0.002,1,-0.136,0.006,0.87,-0.119,0.011,0.67,-0.089,-0.001
15,1.49,-0.195,-0.009,1.16,-0.158,0.018,1.02,-0.139,0.024,0.88,-0.12,0.028,0.67,-0.092,0.011
16,1.49,-0.203,0.015,1.18,-0.159,0.039,1.04,-0.137,0.044,0.91,-0.117,0.046,0.68,-0.092,0.023
17,1.5,-0.205,0.04,1.21,-0.155,0.062,1.07,-0.131,0.064,0.93,-0.108,0.064,0.7,-0.089,0.036
18,1.53,-0.201,0.067,1.24,-0.144,0.085,1.09,-0.119,0.085,0.94,-0.095,0.082,0.72,-0.083,0.049
19,1.57,-0.191,0.095,1.26,-0.128,0.108,1.1,-0.102,0.106,0.94,-0.078,0.1,0.72,-0.073,0.063
20,1.59,-0.174,0.123,1.25,-0.106,0.131,1.1,-0.079,0.125,0.95,-0.056,0.116,0.72,-0.06,0.076
21,1.58,-0.149,0.15,1.25,-0.079,0.151,1.1,-0.053,0.142,0.96,-0.031,0.13,0.72,-0.044,0.088
22,1.57,-0.118,0.176,1.26,-0.047,0.168,1.11,-0.023,0.155,0.96,-0.003,0.139,0.72,-0.025,0.097
23,1.56,-0.082,0.198,1.26,-0.012,0.18,1.1,0.01,0.161,0.95,0.026,0.141,0.72,-0.004,0.103
24,1.56,-0.04,0.214,1.24,0.026,0.184,1.08,0.044,0.163,0.93,0.056,0.139,0.7,0.018,0.105
25,1.53,0.005,0.224,1.21,0.064,0.182,1.07,0.077,0.156,0.95,0.085,0.13,0.69,0.04,0.102
26,1.5,0.051,0.224,1.21,0.101,0.17,1.09,0.109,0.141,0.99,0.112,0.114,0.69,0.062,0.094
27,1.46,0.097,0.214,1.24,0.136,0.149,1.15,0.139,0.119,1.06,0.137,0.09,0.71,0.081,0.079
28,1.46,0.141,0.193,1.32,0.167,0.12,1.23,0.164,0.088,1.13,0.157,0.061,0.74,0.097,0.059
29,1.52,0.18,0.16,1.4,0.193,0.082,1.3,0.185,0.052,1.21,0.174,0.028,0.78,0.11,0.034
30,1.6,0.213,0.117,1.48,0.212,0.039,1.38,0.199,0.012,1.28,0.184,-0.009,0.82,0.118,0.007
31,1.68,0.238,0.066,1.56,0.224,-0.008,1.46,0.207,-0.03,1.37,0.189,-0.045,0.87,0.122,-0.02
32,1.76,0.255,0.009,1.66,0.229,-0.054,1.56,0.208,-0.07,1.46,0.188,-0.078,0.92,0.121,-0.045
33,1.86,0.261,-0.048,1.76,0.226,-0.095,1.65,0.202,-0.103,1.54,0.181,-0.105,0.98,0.116,-0.066
34,1.97,0.257,-0.1,1.84,0.215,-0.128,1.72,0.191,-0.128,1.6,0.169,-0.122,1.03,0.108,-0.078
35,2.06,0.244,-0.14,1.91,0.198,-0.146,1.78,0.173,-0.134,1.65,0.153,-0.123,1.07,0.097,-0.079
36,2.13,0.221,-0.163,1.95,0.175,-0.145,1.81,0.152,-0.13,1.66,0.133,-0.113,1.08,0.084,-0.07
37,2.17,0.192,-0.16,1.94,0.148,-0.123,1.79,0.128,-0.102,1.63,0.111,-0.083,1.07,0.07,-0.047
38,2.13,0.158,-0.129,1.86,0.12,-0.077,1.7,0.103,-0.053,1.55,0.089,-0.036,1.03,0.056,-0.01
39,2.01,0.122,-0.065,1.74,0.092,-0.008,1.59,0.079,0.014,1.46,0.069,0.028,0.99,0.043,0.038
40,1.84,0.089,0.028,1.63,0.067,0.08,1.5,0.058,0.097,1.38,0.051,0.103,0.98,0.034,0.094
41,1.69,0.061,0.141,1.53,0.049,0.178,1.42,0.043,0.185,1.31,0.038,0.183,0.97,0.027,0.153
42,1.55,0.043,0.256,1.44,0.038,0.271,1.35,0.036,0.269,1.25,0.033,0.257,0.96,0.025,0.21
43,1.43,0.038,0.344,1.35,0.036,0.331,1.28,0.035,0.317,1.19,0.033,0.297,0.95,0.026,0.238
44,1.31,0.047,0.356,1.26,0.045,0.342,1.21,0.044,0.328,1.13,0.041,0.307,0.92,0.033,0.248
L(i) (cm),0.4,,,0.33,,,0.296,,,0.264,,,0.192,,
VTL (cm),17.6,,,14.52,,,13.02,,,11.62,,,8.45,,